Latin Name,Common Name,Date,Year,Hectad,Monad,Grid reference in Irish Grid,Location,Location Name,Survey Name,Observation Key,Sensitive Species
Poa alpina,Alpine Meadow-grass,20/06/1984,1984,G74,G7247,G725470,"Annacoona, Co. Sligo",Cliffs at 1900'; SE Portia,Poa alpina,DSS005200000019F,
Pyrola rotundifolia subsp. maritima,Round-leaved Wintergreen,1973,1973,T12,,T12,"Raven Point, Co. Wexford",Raven Point,Pyrola rotundifolia,DSS00520000001J2,
Pyrola rotundifolia subsp. maritima,Round-leaved Wintergreen,1993,1993,T12,,T12,"Raven Point, Co. Wexford",Ravin Point,Pyrola rotundifolia,DSS00520000001JD,
Omalotheca sylvatica,Heath Cudweed,1994,1994,W08,,,"Loo Bridge, Killarney National Park, Co. Kerry","R. Flesk, NW of Loo Bridge",Wahlenbergia hederacea,DSS00520000002K0,Yes
Galeopsis angustifolia,Red Hemp-nettle,06/08/1991,1991,N01,N0010,N0010,"Coneycarn Pit, All Saints Bog esker, Co. Offaly","Coneycarn Pit, All Saints Bog esker",Erigeron acer,DSS005200000046D,
Galeopsis angustifolia,Red Hemp-nettle,16/09/1991,1991,N33,N3730,N3730,"Murphy's Bridge esker, Kilbeggan Canal, Co. Offaly","Murphy's Bridge esker, Kilbeggan Canal",Erigeron acer,DSS00520000004AC,
Viola hirta,Hairy Violet,29/08/1996,1996,L80,L8709,L871098,"Mainistir, Árainn","Mainistir, Árainn",Helianthemum oelandicum (Helianthemum canum),DSS00520000004RB,
Juncus compressus,Round-fruited Rush,1986,1986,N07,,N07,"Termonbarry, Co. Longford","Below lock, Termonbarry",Juncus compressus,DSS00520000004V4,
Juncus compressus,Round-fruited Rush,1968,1968,N97,N9971,N999718,"River Boyne, Co. Meath","River Boyne, S. of Knowth",Juncus compressus,DSS00520000004V5,
Juncus compressus,Round-fruited Rush,1971,1971,N97,N9971,N999718,"River Boyne, Co. Meath","River Boyne, at Slane",Juncus compressus,DSS00520000004V6,
Juncus compressus,Round-fruited Rush,1981,1981,N07,,N07,"Termonbarry, Co. Roscommon","Termonbarry, below lock",Juncus compressus,DSS00520000004V7,
Juncus compressus,Round-fruited Rush,1968,1968,N97,N9971,N999718,"River Boyne, Co. Meath","River Boyne, S. of Knowth",Juncus compressus,DSS00520000004V8,
Juncus compressus,Round-fruited Rush,1971,1971,N97,N9971,N999718,"River Boyne, Co. Meath","River Boyne, at Slane",Juncus compressus,DSS00520000004V9,
Juncus compressus,Round-fruited Rush,27/07/1986,1986,N07,,N07,"Termonbarry, Co. Roscommon","Termonbarry, below lock",Juncus compressus,DSS00520000004VA,
Trichomanes speciosum,Killarney Fern,11/05/2006,2006,Q40,,,Details held by NPWS,,"Rare and Threatened Bryophyte Survey in the Dingle Peninsula, Co. Kerry 2006",DSS00520000005IT,Yes
Trichomanes speciosum,Killarney Fern,11/05/2006,2006,Q40,,,Details held by NPWS,,"Rare and Threatened Bryophyte Survey in the Dingle Peninsula, Co. Kerry 2006",DSS00520000005J2,Yes
Trichomanes speciosum,Killarney Fern,11/05/2006,2006,Q40,,,Details held by NPWS,,"Rare and Threatened Bryophyte Survey in the Dingle Peninsula, Co. Kerry 2006",DSS00520000005MR,Yes
Trichomanes speciosum,Killarney Fern,11/05/2006,2006,Q40,,,Details held by NPWS,,"Rare and Threatened Bryophyte Survey in the Dingle Peninsula, Co. Kerry 2006",DSS00520000005T9,Yes
Trichomanes speciosum,Killarney Fern,11/05/2006,2006,Q40,,,Details held by NPWS,,"Rare and Threatened Bryophyte Survey in the Dingle Peninsula, Co. Kerry 2006",DSS00520000005TK,Yes
Trichomanes speciosum,Killarney Fern,18/05/2006,2006,Q50,,,Details held by NPWS,,"Rare and Threatened Bryophyte Survey in the Dingle Peninsula, Co. Kerry 2006",DSS00520000005VZ,Yes
Spiranthes romanzoffiana,Irish Lady's-tresses,30/08/2005,2005,G20,G2207,G2271407659,"Knockmore, Lough Conn, Co. Mayo","Knockmore, Lough Conn",Miscellaneous NPWS Records,DSS00520000007A4,
Hammarbya paludosa,Bog Orchid,16/08/2004,2004,O12,O1020,O10142065,"Glenasmole Valley, Co. Dublin","S. end of Southern reservior, Glenasmole Valley",Miscellaneous NPWS Records,DSS00520000007A7,
Betonica officinalis,Betony,06/08/2005,2005,V98,V9587,V9587,"Lough Leane, Killarney National Park, Co. Kerry","Cow Island, Lough Leane",Miscellaneous NPWS Records,DSS00520000007AE,
Betonica officinalis,Betony,06/08/2005,2005,V98,V9487,V9487,"Lough Leane, Killarney National Park, Co. Kerry","Rough Island, Lough Leane",Miscellaneous NPWS Records,DSS00520000007AF,
Betonica officinalis,Betony,07/08/2005,2005,V98,V9486,V94898648,"Lough Leane, Killarney National Park, Co. Kerry","S. end of Juniper Island, Lough Leane",Miscellaneous NPWS Records,DSS00520000007AG,
Simethis mattiazzii,Kerry Lily,16/05/2005,2005,V66,V6261,V6261,"Glanlough, Castlecove, Co. Kerry","Glanlough, Castlecove",Miscellaneous NPWS Records,DSS00520000007AJ,
Betonica officinalis,Betony,03/08/2005,2005,V98,V9787,V975875,"North of Muckross Abbey, Killarney National Park, Co. Kerry","En route to Muckross Abbey, along walking track near Lough Leane",Miscellaneous NPWS Records,DSS00520000007AT,
Spiranthes romanzoffiana,Irish Lady's-tresses,2005,2005,G10,G1904,G198046,"Lough Conn, Co. Mayo",Shores of Lough Conn,Miscellaneous NPWS Records,DSS00520000007B5,
Spiranthes romanzoffiana,Irish Lady's-tresses,2005,2005,M06,M0260,M0246860449,"Glenbeg East, Lough Mask, Co. Mayo","Near Glenbeg East, at south end of Lough Mask",Miscellaneous NPWS Records,DSS00520000007BD,
Spiranthes romanzoffiana,Irish Lady's-tresses,2005,2005,M05,M0658,M065583,"Ferry Bridge, Lough Mask, Co. Mayo",Ferry Bridge,Miscellaneous NPWS Records,DSS00520000007BE,
Cephalanthera longifolia,Narrow-leaved Helleborine,24/05/2005,2005,V95,,,"Glengarriff, Co. Cork",Glengarriff National Park,Miscellaneous NPWS Records,DSS00520000007DM,Yes
Cephalanthera longifolia,Narrow-leaved Helleborine,30/05/2005,2005,N04,,,"Hare Island, Lough Ree, Co. Westmeath",Hare Island,Miscellaneous NPWS Records,DSS00520000007DN,Yes
Cephalanthera longifolia,Narrow-leaved Helleborine,30/05/2005,2005,N04,,,"Coosan Lough, Lough Ree, Co. Westmeath",Coosan Point,Miscellaneous NPWS Records,DSS00520000007DO,Yes
Pseudorchis albida,Small-white Orchid,16/06/2005,2005,G71,G7610,G767105,"Knockroe, Bricklieve Mountains, Co. Sligo","Knockroe, Bricklieve Mountains",Miscellaneous NPWS Records,DSS00520000007DY,
Pseudorchis albida,Small-white Orchid,15/06/2005,2005,G64,G6440,G6437240543,"Doonweelin Upper, Rosses Point, Co. Sligo","Doonweelin Upper, Rosses Point",Miscellaneous NPWS Records,DSS00520000007E9,
Pseudorchis albida,Small-white Orchid,11/06/2005,2005,H03,H0432,H048323,"Lough Aneanvrick, Co. Cavan","Lough Aneanvrick, Shannon Source",Miscellaneous NPWS Records,DSS00520000007EN,
Pseudorchis albida,Small-white Orchid,13/06/2005,2005,H02,H0228,H025280,"Corratober Upper, Near Dowra, Co. Cavan","Corratober Upper, near Dowra",Miscellaneous NPWS Records,DSS00520000007EX,
Pseudorchis albida,Small-white Orchid,11/06/2005,2005,H02,H0228,H028287,"Corratober Lower, Near Dowra, Co. Cavan","Corratober Lower, near Dowra",Miscellaneous NPWS Records,DSS00520000007F5,
Mentha pulegium,Pennyroyal,07/07/2006,2006,F60,,,"Keel, Co. Mayo","Keel, Co. Mayo",Miscellaneous NPWS Records,DSS00520000007F8,Yes
Saxifraga hirculus,Marsh Saxifrage,06/07/2006,2006,G03,G0835,G0831235099,"Ballinglen, Ballycastle, Co. Mayo","Ballinglen, Ballycastle",Miscellaneous NPWS Records,DSS00520000007F9,
Groenlandia densa,Opposite-leaved Pondweed,2006,2006,R55,R5555,R552550,"Bunlicky, Limerick City, Co. Limerick","Bunlicky, 1 km west of Ballinacura Creek",Miscellaneous NPWS Records,DSS00520000007FR,
Saxifraga hirculus,Marsh Saxifrage,02/10/2007,2007,F92,F9728,F9768028397,"Sheskin, Co. Mayo",Sheskin,Miscellaneous NPWS Records,DSS00520000007G4,
Saxifraga hirculus,Marsh Saxifrage,30/08/2007,2007,F92,F9728,F9768028397,"Sheskin, Co. Mayo",Sheskin,Miscellaneous NPWS Records,DSS00520000007G8,
