Latin Name,Common Name,Date,Year,Hectad,Monad,Grid reference in Irish Grid,Location,Location Name,Survey Name,Observation Key,Sensitive Species
Hypericum hirsutum,Hairy St John's-wort,1895,1895,O03,O0935,O0935,Knockmaroon,Knockmaroon,Hypericum hirsutum,EIRE0001000001B5,
Hypericum hirsutum,Hairy St John's-wort,1895,1895,O13,,O13,Lansdown valley,Lansdown valley,Hypericum hirsutum,EIRE0001000001B6,
Hypericum hirsutum,Hairy St John's-wort,1895,1895,O03,O0135,O0135,St Catherines Wood,St Catherines Wood,Hypericum hirsutum,EIRE0001000001B7,
Hypericum hirsutum,Hairy St John's-wort,1896,1896,N86,,N86,Navan,Navan,Hypericum hirsutum,EIRE0001000001B8,
Hypericum hirsutum,Hairy St John's-wort,1903,1903,O03,,O03,Blanchardstown,Blanchardstown,Hypericum hirsutum,EIRE0001000001B9,
Hypericum hirsutum,Hairy St John's-wort,1904,1904,O03,,O03,Leixlip waterfall,Leixlip waterfall,Hypericum hirsutum,EIRE0001000001BA,
Hypericum hirsutum,Hairy St John's-wort,1986,1986,O03,O0338,O0338,Barnhill Bridge,Barnhill Bridge,Hypericum hirsutum,EIRE0001000001BB,
Hypericum hirsutum,Hairy St John's-wort,24/08/1991,1991,O03,O0338,O0338,Barnhill Bridge,Barnhill Bridge,Hypericum hirsutum,EIRE0001000001BC,
Hypericum hirsutum,Hairy St John's-wort,09/08/1991,1991,N93,N9637,N9637,Carton,Carton,Hypericum hirsutum,EIRE0001000001BD,
Hypericum hirsutum,Hairy St John's-wort,26/07/1991,1991,O03,O0735,O0735,Kings Hospital,Kings Hospital,Hypericum hirsutum,EIRE0001000001BE,
Hypericum hirsutum,Hairy St John's-wort,30/07/1991,1991,O03,O0336,O0336,Lucan Desmesne,Clanaboy House,Hypericum hirsutum,EIRE0001000001BF,
Hypericum hirsutum,Hairy St John's-wort,28/07/1991,1991,O03,O0436,O0436,Luttrellstown estate,Luttrellstown estate,Hypericum hirsutum,EIRE0001000001BG,
Hypericum hirsutum,Hairy St John's-wort,Jul-91,1991,O14,O1640,O1640,Santry Court,Santry Court,Hypericum hirsutum,EIRE0001000001BH,
Hypericum hirsutum,Hairy St John's-wort,08/08/1991,1991,O03,O0135,O0135,St Catherines Wood,St Catherines Wood,Hypericum hirsutum,EIRE0001000001BI,
Inula salicina,Irish Fleabane,1885,1885,R79,,,Rosmore and Rabbit Island,Rosmore and Rabbit Island,Inula salicina,EIRE0001000001BJ,Yes
Inula salicina,Irish Fleabane,1895,1895,R89,,,Curraghmore and Bounla Island,Curraghmore and Bounla Island,Inula salicina,EIRE0001000001BK,Yes
Inula salicina,Irish Fleabane,1897,1897,M80,,,Portumna,Portumna,Inula salicina,EIRE0001000001BL,Yes
Inula salicina,Irish Fleabane,1898,1898,M80,,,"Lough Derg, Co. Tipperary",,Inula salicina,EIRE0001000001BM,Yes
Inula salicina,Irish Fleabane,1899,1899,R78,,,Youghal Bay,Youghal Bay,Inula salicina,EIRE0001000001BN,Yes
Inula salicina,Irish Fleabane,1932,1932,R78,,,Corrikeen Islands,Corrikeen Islands,Inula salicina,EIRE0001000001BO,Yes
Inula salicina,Irish Fleabane,1935,1935,R79,,,Rosmore and Rabbit Island,Rosmore and Rabbit Island,Inula salicina,EIRE0001000001BP,Yes
Inula salicina,Irish Fleabane,1967,1967,M80,,,Gortmore Point,Gortmore Point,Inula salicina,EIRE0001000001BQ,Yes
Inula salicina,Irish Fleabane,1967,1967,M80,,,"Lough Derg, Co. Tipperary",,Inula salicina,EIRE0001000001BR,Yes
Inula salicina,Irish Fleabane,1970,1970,M80,,,Portumna,Portumna,Inula salicina,EIRE0001000001BS,Yes
Inula salicina,Irish Fleabane,1981,1981,M80,,,"Lough Derg, Co. Tipperary",,Inula salicina,EIRE0001000001BT,Yes
Inula salicina,Irish Fleabane,13/07/1991,1991,M80,,,"Lough Derg, Co. Tipperary",,Inula salicina,EIRE0001000001BU,Yes
Inula salicina,Irish Fleabane,Jul-98,1998,R89,,,Curraghmore and Bounla Island,Curraghmore and Bounla Island,Inula salicina,EIRE0001000001BV,Yes
Hordeum secalinum,Meadow Barley,20/07/1990,1990,S62,S6822,S6822,River Barrow Bearstown bridge,,Hordeum secalinum,EIRE0001000001BW,
Hordeum secalinum,Meadow Barley,01/07/1990,1990,S51,S5814,S585148,Grannyferry,,Hordeum secalinum,EIRE0001000001BX,
Asplenium obovatum,Lanceolate Spleenwort,1878,1878,W47,W4573,W455732,Coachford,Coachford,Asplenium obovatum lanceolatum (Asplenium billotii),EIRE0001000001BY,
Asplenium obovatum,Lanceolate Spleenwort,1880,1880,W35,W3853,W3853,Bandon,Bandon,Asplenium obovatum lanceolatum (Asplenium billotii),EIRE0001000001BZ,
Asplenium obovatum,Lanceolate Spleenwort,1885,1885,W64,W6549,W6549,James Fort,James Fort,Asplenium obovatum lanceolatum (Asplenium billotii),EIRE0001000001C0,
Asplenium obovatum,Lanceolate Spleenwort,1893,1893,Q60,Q6909,Q693095,Camp,Camp,Asplenium obovatum lanceolatum (Asplenium billotii),EIRE0001000001C1,
Asplenium obovatum,Lanceolate Spleenwort,1894,1894,V85,V8150,V810505,Adrigole,Adrigole,Asplenium obovatum lanceolatum (Asplenium billotii),EIRE0001000001C2,
Asplenium obovatum,Lanceolate Spleenwort,1896,1896,V92,V9520,V9520,Cape Clear South Harbour,Cape Clear South Harbour,Asplenium obovatum lanceolatum (Asplenium billotii),EIRE0001000001C3,
Asplenium obovatum,Lanceolate Spleenwort,1897,1897,W16,W1567,W150675,,Ballingeary,Asplenium obovatum lanceolatum (Asplenium billotii),EIRE0001000001C4,
Asplenium obovatum,Lanceolate Spleenwort,1897,1897,W47,W4573,W455732,Coachford,Coachford,Asplenium obovatum lanceolatum (Asplenium billotii),EIRE0001000001C5,
Asplenium obovatum,Lanceolate Spleenwort,1915,1915,S74,S7844,S7844,Ballyglisheen,Ballyglisheen,Asplenium obovatum lanceolatum (Asplenium billotii),EIRE0001000001C6,
Asplenium obovatum,Lanceolate Spleenwort,1917,1917,T19,T1396,T130966,,Glendalough,Asplenium obovatum lanceolatum (Asplenium billotii),EIRE0001000001C7,
Asplenium obovatum,Lanceolate Spleenwort,1922,1922,T10,T1104,T115047,Shilmore,Shilmore,Asplenium obovatum lanceolatum (Asplenium billotii),EIRE0001000001C8,
Asplenium obovatum,Lanceolate Spleenwort,1928,1928,T27,T2570,T250705,Arklow Head,Arklow Head,Asplenium obovatum lanceolatum (Asplenium billotii),EIRE0001000001C9,
Asplenium obovatum,Lanceolate Spleenwort,1938,1938,V98,V9385,V9385,Dinish Island,Dinish Island,Asplenium obovatum lanceolatum (Asplenium billotii),EIRE0001000001CA,
Asplenium obovatum,Lanceolate Spleenwort,1941,1941,T18,T1183,T110833,Aughrim,Aughrim,Asplenium obovatum lanceolatum (Asplenium billotii),EIRE0001000001CB,
Asplenium obovatum,Lanceolate Spleenwort,1970,1970,T27,T2570,T250705,Arklow Head,Arklow Head,Asplenium obovatum lanceolatum (Asplenium billotii),EIRE0001000001CC,
Asplenium obovatum,Lanceolate Spleenwort,1980,1980,V56,V5369,V539690,Caherbanagh,Caherbanagh,Asplenium obovatum lanceolatum (Asplenium billotii),EIRE0001000001CD,
Asplenium obovatum,Lanceolate Spleenwort,1984,1984,T19,T1396,T130966,,Glendalough,Asplenium obovatum lanceolatum (Asplenium billotii),EIRE0001000001CE,
Asplenium obovatum,Lanceolate Spleenwort,13/06/1984,1984,T18,T1183,T110833,Aughrim,"Aughrim, Sheenamore",Asplenium obovatum lanceolatum (Asplenium billotii),EIRE0001000001CF,
Asplenium obovatum,Lanceolate Spleenwort,1989,1989,T10,T1206,T125060,Murphys farmhouse,Murphys farmhouse,Asplenium obovatum lanceolatum (Asplenium billotii),EIRE0001000001CG,
Asplenium obovatum,Lanceolate Spleenwort,29/10/1990,1990,S74,S7844,S7844,Ballyglisheen,Ballyglisheen,Asplenium obovatum lanceolatum (Asplenium billotii),EIRE0001000001CH,
Asplenium obovatum,Lanceolate Spleenwort,21/06/1993,1993,V92,V9521,V954210,Cape Clear South Harbour,Cape Clear South Harbour,Asplenium obovatum lanceolatum (Asplenium billotii),EIRE0001000001CI,
Asplenium obovatum,Lanceolate Spleenwort,07/10/1993,1993,V82,V8126,V810267,Crookhaven,Crookhaven,Asplenium obovatum lanceolatum (Asplenium billotii),EIRE0001000001CJ,
Asplenium obovatum,Lanceolate Spleenwort,11/08/1993,1993,V92,V9127,V912278,"Long Island, Coosnagulling","Long Island, Coosnagulling",Asplenium obovatum lanceolatum (Asplenium billotii),EIRE0001000001CK,
Asplenium obovatum,Lanceolate Spleenwort,28/08/1993,1993,T10,T1105,T118053,Seanscoile,Seanscoile,Asplenium obovatum lanceolatum (Asplenium billotii),EIRE0001000001CL,
Asplenium obovatum,Lanceolate Spleenwort,29/08/1993,1993,T10,T1104,T115047,Shilmore,Shilmore,Asplenium obovatum lanceolatum (Asplenium billotii),EIRE0001000001CM,
Asplenium obovatum,Lanceolate Spleenwort,06/10/1993,1993,V72,V7327,V738276,Three Castle Head,Three Castle Head,Asplenium obovatum lanceolatum (Asplenium billotii),EIRE0001000001CN,
Asplenium obovatum,Lanceolate Spleenwort,1993,1993,T10,T1105,T118053,Seanscoile,Seanscoile,Asplenium obovatum lanceolatum (Asplenium billotii),EIRE0001000001CO,
Asplenium obovatum,Lanceolate Spleenwort,04/07/1994,1994,V56,V5369,V539690,Caherbanagh,Caherbanagh,Asplenium obovatum lanceolatum (Asplenium billotii),EIRE0001000001CP,
Asplenium obovatum,Lanceolate Spleenwort,19/07/1996,1996,V92,V9128,V918283,"Long Island, start of Long Road","Long Island, start of Long Road",Asplenium obovatum lanceolatum (Asplenium billotii),EIRE0001000001CQ,
Asplenium obovatum,Lanceolate Spleenwort,11/08/1993,1993,V92,V9128,V918284,"Long Island, East Pier",,Asplenium obovatum lanceolatum (Asplenium billotii),EIRE0001000001CR,
Najas flexilis,Slender Naiad,12/09/2002,2002,C14,C1742,C178428,Kindrum (Lough),Lough Kindrum,Najas flexilis,EIRE0001000001CS,
Najas flexilis,Slender Naiad,Sep-99,1999,G69,G6797,G675976,Kiltooris (Lough),Lough Kiltooris,Najas flexilis,EIRE0001000001EJ,
Najas flexilis,Slender Naiad,30/08/1999,1999,C24,C2145,C211453,Shannagh (Lough),Lough Shannagh,Najas flexilis,EIRE0001000001EK,
Najas flexilis,Slender Naiad,29/07/2002,2002,G79,G7299,G723992,Clooney (Lough),Lough Clooney,Najas flexilis,EIRE0001000001EM,
Najas flexilis,Slender Naiad,29/07/2002,2002,G79,G7095,G700957,Seskinmore (Lough),Lough Seskinmore,Najas flexilis,EIRE0001000001EN,
Najas flexilis,Slender Naiad,31/07/2002,2002,C03,C0134,C010347,an Phoirt (Lough),Loch an Phoirt,Najas flexilis,EIRE0001000001EO,
Najas flexilis,Slender Naiad,31/07/2002,2002,C03,C0436,C040361,Sessiagh (Lough),Lough Sessiagh,Najas flexilis,EIRE0001000001EP,
Najas flexilis,Slender Naiad,30/07/2002,2002,B71,B7719,B775199,Mullaghderg (Lough),Lough Mullaghderg,Najas flexilis,EIRE0001000001EQ,
Najas flexilis,Slender Naiad,01/08/2002,2002,C01,C0719,C074190,Akibbon (Lough),Lough Akibbon,Najas flexilis,EIRE0001000001ER,
Najas flexilis,Slender Naiad,01/08/2002,2002,C14,C1441,C145417,Nagreany (Lough),Lough Nagreany,Najas flexilis,EIRE0001000001ES,
Mentha pulegium,Pennyroyal,1756,1756,Q82,,,Lixnaw,Lixnaw,Mentha pulegium,EIRE0001000001ET,Yes
Mentha pulegium,Pennyroyal,1804,1804,R46,,,Bunratty,Bunratty,Mentha pulegium,EIRE0001000001EU,Yes
Mentha pulegium,Pennyroyal,1819,1819,W96,,,Ballycotton,Ballycotton,Mentha pulegium,EIRE0001000001EV,Yes
Mentha pulegium,Pennyroyal,1847,1847,V79,,,Cromane Point,Cromane Point,Mentha pulegium,EIRE0001000001EW,Yes
Mentha pulegium,Pennyroyal,1850,1850,W76,,,Great Island at Belvelly,Great Island at Belvelly,Mentha pulegium,EIRE0001000001EX,Yes
Mentha pulegium,Pennyroyal,1868,1868,O21,,,"Sugarloaf Mountain, Kilmacanogue, Co. Wicklow",Base of Sugarloaf,Mentha pulegium,EIRE0001000001EY,Yes
Mentha pulegium,Pennyroyal,1868,1868,S70,,,,Fethard,Mentha pulegium,EIRE0001000001EZ,Yes
Mentha pulegium,Pennyroyal,1868,1868,R37,,,"Ennis, near River Fergus","Ennis, near River Fergus",Mentha pulegium,EIRE0001000001F0,Yes
Mentha pulegium,Pennyroyal,1883,1883,W55,,,,Ballinadee,Mentha pulegium,EIRE0001000001F1,Yes
Mentha pulegium,Pennyroyal,1883,1883,W79,,,Cregg Castle,Cregg Castle,Mentha pulegium,EIRE0001000001F2,Yes
Mentha pulegium,Pennyroyal,1883,1883,W64,,,Kinsale,Kinsale,Mentha pulegium,EIRE0001000001F3,Yes
Mentha pulegium,Pennyroyal,1883,1883,V92,,,Skull Bay,Skull Bay,Mentha pulegium,EIRE0001000001F4,Yes
Mentha pulegium,Pennyroyal,1884,1884,Q31,,,Ballydavid promontory,Ballydavid promontory,Mentha pulegium,EIRE0001000001F5,Yes
Mentha pulegium,Pennyroyal,1884,1884,Q30,,,Murreagh,Murreagh,Mentha pulegium,EIRE0001000001F6,Yes
Mentha pulegium,Pennyroyal,1886,1886,Q30,,,Smerwick,Smerwick,Mentha pulegium,EIRE0001000001F7,Yes
Mentha pulegium,Pennyroyal,1887,1887,V98,,,Kenmare Estate,Kenmare Estate,Mentha pulegium,EIRE0001000001F8,Yes
Mentha pulegium,Pennyroyal,1888,1888,V99,,,"Killarney, Rockfield Bridge","Killarney, Rockfield Bridge",Mentha pulegium,EIRE0001000001F9,Yes
Mentha pulegium,Pennyroyal,1890,1890,V59,,,Annascaul,Annascaul,Mentha pulegium,EIRE0001000001FA,Yes
Mentha pulegium,Pennyroyal,1890,1890,Q71,,,Derrymore Bridge,Derrymore Bridge,Mentha pulegium,EIRE0001000001FB,Yes
Mentha pulegium,Pennyroyal,1890,1890,V97,,,"By the Finnihy River, just north of Kenmare near the town wells","By the Finnihy River, just north of Kenmare near the town wells",Mentha pulegium,EIRE0001000001FC,Yes
Mentha pulegium,Pennyroyal,1890,1890,Q70,,,West of Aughils,West of Aughils,Mentha pulegium,EIRE0001000001FD,Yes
Mentha pulegium,Pennyroyal,1891,1891,R04,,,South of Tarbert,South of Tarbert,Mentha pulegium,EIRE0001000001FE,Yes
Mentha pulegium,Pennyroyal,1892,1892,R37,,,"Ennis, near River Fergus","Ennis, near River Fergus",Mentha pulegium,EIRE0001000001FF,Yes
Mentha pulegium,Pennyroyal,1896,1896,V82,,,Goleen,Goleen,Mentha pulegium,EIRE0001000001FG,Yes
Mentha pulegium,Pennyroyal,1897,1897,R55,,,Rosbrien,Rosbrien,Mentha pulegium,EIRE0001000001FH,Yes
Mentha pulegium,Pennyroyal,1899,1899,V79,,,"Killorglin, Dromin Pond","Killorglin, Dromin Pond",Mentha pulegium,EIRE0001000001FI,Yes
Mentha pulegium,Pennyroyal,1899,1899,V69,,,"Glenbeigh, East of Caragh bridge","Glenbeigh, East of Caragh bridge",Mentha pulegium,EIRE0001000001FJ,Yes
Mentha pulegium,Pennyroyal,1900,1900,V46,,,Ballinskelligs,Ballinskelligs,Mentha pulegium,EIRE0001000001FK,Yes
Mentha pulegium,Pennyroyal,1901,1901,V89,,,Ballymalis,Ballymalis,Mentha pulegium,EIRE0001000001FL,Yes
Mentha pulegium,Pennyroyal,1901,1901,V99,,,"Killarney, Rockfield Bridge","Killarney, Rockfield Bridge",Mentha pulegium,EIRE0001000001FM,Yes
Mentha pulegium,Pennyroyal,1904,1904,Q70,,,Boolteens,Boolteens,Mentha pulegium,EIRE0001000001FN,Yes
Mentha pulegium,Pennyroyal,1905,1905,Q72,,,Ardfert,Ardfert,Mentha pulegium,EIRE0001000001FO,Yes
Mentha pulegium,Pennyroyal,1905,1905,Q90,,,Castleisland,Castleisland,Mentha pulegium,EIRE0001000001FP,Yes
Mentha pulegium,Pennyroyal,1905,1905,Q82,,,Lerrig,Lerrig,Mentha pulegium,EIRE0001000001FQ,Yes
Mentha pulegium,Pennyroyal,1905,1905,Q71,,,Scrahan,Scrahan,Mentha pulegium,EIRE0001000001FR,Yes
Mentha pulegium,Pennyroyal,1906,1906,V69,,,"Glenbeigh, East of Caragh bridge","Glenbeigh, East of Caragh bridge",Mentha pulegium,EIRE0001000001FS,Yes
Mentha pulegium,Pennyroyal,1907,1907,Q81,,,Ardfert road near Ballyroe,Ardfert road near Ballyroe,Mentha pulegium,EIRE0001000001FT,Yes
Mentha pulegium,Pennyroyal,1908,1908,Q73,,,Ballingarry,Ballingarry,Mentha pulegium,EIRE0001000001FU,Yes
Mentha pulegium,Pennyroyal,1908,1908,V86,,,Cloonee Lakes,Cloonee Lakes,Mentha pulegium,EIRE0001000001FV,Yes
Mentha pulegium,Pennyroyal,1908,1908,V97,,,"By the Finnihy River, just north of Kenmare near the town wells","By the Finnihy River, just north of Kenmare near the town wells",Mentha pulegium,EIRE0001000001FW,Yes
Mentha pulegium,Pennyroyal,1908,1908,V76,,,"Lehid Wood, Dereen North","Lehid Wood, Dereen North",Mentha pulegium,EIRE0001000001FX,Yes
Mentha pulegium,Pennyroyal,1909,1909,V79,,,"Killorglin, Dromin Pond","Killorglin, Dromin Pond",Mentha pulegium,EIRE0001000001FY,Yes
Mentha pulegium,Pennyroyal,1909,1909,V89,,,Beaufort,Beaufort,Mentha pulegium,EIRE0001000001FZ,Yes
Mentha pulegium,Pennyroyal,1914,1914,V59,,,Annascaul,Annascaul,Mentha pulegium,EIRE0001000001G0,Yes
Mentha pulegium,Pennyroyal,1914,1914,Q72,,,Ardfert,Ardfert,Mentha pulegium,EIRE0001000001G1,Yes
Mentha pulegium,Pennyroyal,1914,1914,Q81,,,Ardfert road near Ballyroe,Ardfert road near Ballyroe,Mentha pulegium,EIRE0001000001G2,Yes
Mentha pulegium,Pennyroyal,1914,1914,Q71,,,Derrymore Bridge,Derrymore Bridge,Mentha pulegium,EIRE0001000001G3,Yes
Mentha pulegium,Pennyroyal,1914,1914,Q82,,,Lerrig,Lerrig,Mentha pulegium,EIRE0001000001G4,Yes
Mentha pulegium,Pennyroyal,1914,1914,Q70,,,West of Aughils,West of Aughils,Mentha pulegium,EIRE0001000001G5,Yes
Mentha pulegium,Pennyroyal,1942,1942,T00,,,,Lady's Island Lake,Mentha pulegium,EIRE0001000001G6,Yes
Mentha pulegium,Pennyroyal,1960,1960,T00,,,,Lady's Island Lake,Mentha pulegium,EIRE0001000001G7,Yes
Mentha pulegium,Pennyroyal,1968,1968,V98,,,Kenmare Estate,Kenmare Estate,Mentha pulegium,EIRE0001000001G8,Yes
Mentha pulegium,Pennyroyal,1971,1971,W97,,,Ballyquiggan Railway Crossing,Ballyquiggan Railway Crossing,Mentha pulegium,EIRE0001000001G9,Yes
Mentha pulegium,Pennyroyal,1982,1982,F60,,,"Achill, Keel Strand","Achill, Keel Strand",Mentha pulegium,EIRE0001000001GA,Yes
Mentha pulegium,Pennyroyal,13/09/1983,1983,F60,,,"Achill, Keel Strand","Achill, Keel Strand",Mentha pulegium,EIRE0001000001GB,Yes
Mentha pulegium,Pennyroyal,1999,1999,V98,,,Ross Castle,Ross Castle,Mentha pulegium,EIRE0001000001GC,Yes
Mentha pulegium,Pennyroyal,Unknown,N/A,W97,,,Ballyquiggan Railway Crossing,Ballyquiggan Railway Crossing,Mentha pulegium,EIRE0001000001GD,Yes
Mertensia maritima,Oysterplant,1727,1727,O30,,,Details held by NPWS,,Mertensia maritima,EIRE0001000001GE,Yes
Mertensia maritima,Oysterplant,1756,1756,Q94,,,Details held by NPWS,,Mertensia maritima,EIRE0001000001GF,Yes
Mertensia maritima,Oysterplant,1794,1794,O26,,,Details held by NPWS,,Mertensia maritima,EIRE0001000001GG,Yes
Mertensia maritima,Oysterplant,1794,1794,O25,,,Details held by NPWS,,Mertensia maritima,EIRE0001000001GH,Yes
Mertensia maritima,Oysterplant,1806,1806,O26,,,Details held by NPWS,,Mertensia maritima,EIRE0001000001GI,Yes
Mertensia maritima,Oysterplant,1831,1831,O24,,,Details held by NPWS,,Mertensia maritima,EIRE0001000001GJ,Yes
Mertensia maritima,Oysterplant,1839,1839,C34,,,Details held by NPWS,,Mertensia maritima,EIRE0001000001GK,Yes
Mertensia maritima,Oysterplant,1839,1839,C35,,,Details held by NPWS,,Mertensia maritima,EIRE0001000001GL,Yes
Mertensia maritima,Oysterplant,1872,1872,O30,,,Details held by NPWS,,Mertensia maritima,EIRE0001000001GM,Yes
Mertensia maritima,Oysterplant,1880,1880,O30,,,Details held by NPWS,,Mertensia maritima,EIRE0001000001GN,Yes
Mertensia maritima,Oysterplant,1880,1880,O30,,,Details held by NPWS,,Mertensia maritima,EIRE0001000001GO,Yes
Mertensia maritima,Oysterplant,1880,1880,C04,,,Details held by NPWS,,Mertensia maritima,EIRE0001000001GP,Yes
Mertensia maritima,Oysterplant,1883,1883,C45,,,Details held by NPWS,,Mertensia maritima,EIRE0001000001GQ,Yes
Mertensia maritima,Oysterplant,1890,1890,J10,,,Details held by NPWS,,Mertensia maritima,EIRE0001000001GR,Yes
Mertensia maritima,Oysterplant,1893,1893,C35,,,Details held by NPWS,,Mertensia maritima,EIRE0001000001GS,Yes
Mertensia maritima,Oysterplant,1898,1898,C34,,,Details held by NPWS,,Mertensia maritima,EIRE0001000001GT,Yes
Mertensia maritima,Oysterplant,1898,1898,C45,,,Details held by NPWS,,Mertensia maritima,EIRE0001000001GU,Yes
Mertensia maritima,Oysterplant,1921,1921,J20,,,Details held by NPWS,,Mertensia maritima,EIRE0001000001GV,Yes
Mertensia maritima,Oysterplant,1931,1931,C54,,,Details held by NPWS,,Mertensia maritima,EIRE0001000001GW,Yes
Mertensia maritima,Oysterplant,1985,1985,C04,,,Details held by NPWS,,Mertensia maritima,EIRE0001000001GX,Yes
Mertensia maritima,Oysterplant,1991,1991,C45,,,Details held by NPWS,,Mertensia maritima,EIRE0001000001GY,Yes
Mertensia maritima,Oysterplant,1995,1995,C45,,,Details held by NPWS,,Mertensia maritima,EIRE0001000001GZ,Yes
Mertensia maritima,Oysterplant,1995,1995,C04,,,Details held by NPWS,,Mertensia maritima,EIRE0001000001H0,Yes
Mertensia maritima,Oysterplant,13/08/1994,1994,J20,,,Details held by NPWS,,Mertensia maritima,EIRE0001000001H1,Yes
Mertensia maritima,Oysterplant,1995,1995,C34,,,Details held by NPWS,,Mertensia maritima,EIRE0001000001H2,Yes
Mertensia maritima,Oysterplant,1995,1995,C35,,,Details held by NPWS,,Mertensia maritima,EIRE0001000001H3,Yes
Mertensia maritima,Oysterplant,22/06/1996,1996,C34,,,Details held by NPWS,,Mertensia maritima,EIRE0001000001H4,Yes
Mertensia maritima,Oysterplant,27/09/1996,1996,L77,,,Details held by NPWS,,Mertensia maritima,EIRE0001000001H5,Yes
Mertensia maritima,Oysterplant,1996,1996,L77,,,Details held by NPWS,,Mertensia maritima,EIRE0001000001H6,Yes
Mertensia maritima,Oysterplant,1998,1998,C45,,,Details held by NPWS,,Mertensia maritima,EIRE0001000001H7,Yes
Achillea maritima,Cottonweed,1756,1756,Q72,,,Ballyheigue Shores,Ballyheigue Shores,Otanthus maritimus,EIRE0001000001I6,Yes
Achillea maritima,Cottonweed,1845,1845,X29,,,"Dungarvan, Co. Waterford",,Otanthus maritimus,EIRE0001000001I7,Yes
Achillea maritima,Cottonweed,1846,1846,X29,,,Dungarvan,Dungarvan,Otanthus maritimus,EIRE0001000001I8,Yes
Achillea maritima,Cottonweed,1850,1850,S60,,,Tramore dunes and backstrand,Tramore,Otanthus maritimus,EIRE0001000001I9,Yes
Achillea maritima,Cottonweed,1854,1854,S60,,,Tramore dunes and backstrand,Tramore,Otanthus maritimus,EIRE0001000001IA,Yes
Achillea maritima,Cottonweed,1901,1901,T00,,,,Tacumshin lake,Otanthus maritimus,EIRE0001000001IB,Yes
Achillea maritima,Cottonweed,1983,1983,T00,,,Tacumshin Lake,Tacumshin lake,Otanthus maritimus,EIRE0001000001ID,Yes
Achillea maritima,Cottonweed,1995,1995,T00,,,Lady's Island Lake,Ladys Island lake,Otanthus maritimus,EIRE0001000001IE,Yes
Achillea maritima,Cottonweed,17/04/1997,1997,S80,,,Ballyteigue Burrows,Ballyteigue Burrow,Otanthus maritimus,EIRE0001000001IF,Yes
Achillea maritima,Cottonweed,17/04/1997,1997,S90,,,Ballyteigue Burrows,Ballyteigue Burrow,Otanthus maritimus,EIRE0001000001IG,Yes
Achillea maritima,Cottonweed,10/05/1984,1984,T00,,,Lady's Island Lake,,Otanthus maritimus,EIRE0001000001IH,Yes
Pilularia globulifera,Pillwort,1804,1804,L74,L7547,L759479,Lake Ballynahinch,Lake Ballynahinch,Pilularia globulifera,EIRE0001000001JS,
Pilularia globulifera,Pillwort,1889,1889,V88,V8981,V89628150,"Killarney, Duck Island","Killarney, Duck Island",Pilularia globulifera,EIRE0001000001JT,
Pilularia globulifera,Pillwort,1895,1895,M06,,M06,"Lough Mask, River Owenbrin","Lough Mask, River Owenbrin",Pilularia globulifera,EIRE0001000001JU,
Pilularia globulifera,Pillwort,1895,1895,L84,L8547,L850472,Glendollagh,Glendollagh,Pilularia globulifera,EIRE0001000001JV,
Pilularia globulifera,Pillwort,1896,1896,M05,,M05,Lough Mask,Lough Mask,Pilularia globulifera,EIRE0001000001JX,
Pilularia globulifera,Pillwort,1901,1901,L75,L7658,L765583,Lake Poulcappal,Lake Poulcappal,Pilularia globulifera,EIRE0001000001JY,
Pilularia globulifera,Pillwort,1902,1902,V88,V8981,V89058183,"Killarney, mouth of River Gearhameen","Killarney, mouth of River Gearhameen",Pilularia globulifera,EIRE0001000001JZ,
Pilularia globulifera,Pillwort,1902,1902,V98,V9384,V9384,"Killarney, Long Range","Killarney, Long Range",Pilularia globulifera,EIRE0001000001K0,
Pilularia globulifera,Pillwort,1903,1903,L99,,L99,Lough Feeagh,Lough Feeagh,Pilularia globulifera,EIRE0001000001K1,
Pilularia globulifera,Pillwort,1909,1909,V98,V9688,V960880,"Killarney, mouth of River Flesk",Killarney. Mouth of River Flesk,Pilularia globulifera,EIRE0001000001K2,
Pilularia globulifera,Pillwort,1912,1912,V98,V9688,V960880,"Killarney, mouth of River Flesk",Killarney. Mouth of River Flesk,Pilularia globulifera,EIRE0001000001K3,
Pilularia globulifera,Pillwort,1939,1939,B92,,B92,Lough Nacung,Lough Nacung,Pilularia globulifera,EIRE0001000001K4,
Pilularia globulifera,Pillwort,1959,1959,V58,V5487,V5487,Kells Lough,Kells Lough,Pilularia globulifera,EIRE0001000001K5,
Pilularia globulifera,Pillwort,1959,1959,M06,,M06,"Lough Mask, Gortmore","Lough Mask, Gortmore",Pilularia globulifera,EIRE0001000001K6,
Pilularia globulifera,Pillwort,1965,1965,M17,M1272,M120720,"Lough Mask, south of Srah","Lough Mask, south of Srah",Pilularia globulifera,EIRE0001000001K7,
Pilularia globulifera,Pillwort,1967,1967,M06,M0662,M063625,"Owenbrin River, pools near mouth of river","Owenbrin River, pools near mouth of river",Pilularia globulifera,EIRE0001000001K8,
Pilularia globulifera,Pillwort,1970,1970,G58,G5788,G570880,"Lough Kiltyfannad, north shore","Lough Kiltyfannad, north shore",Pilularia globulifera,EIRE0001000001K9,
Pilularia globulifera,Pillwort,1971,1971,M16,M1567,M154675,Keel Bridge,Keel Bridge,Pilularia globulifera,EIRE0001000001KA,
Pilularia globulifera,Pillwort,1972,1972,M06,,M06,"Lough Mask, River Owenbrin","Lough Mask, River Owenbrin",Pilularia globulifera,EIRE0001000001KB,
